Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Sacco Pescara (PE),Accettabile,15,--,39,--,--,93,74,--,--,2018-11-02
Via Sacco Pescara (PE),Accettabile,9,--,13,--,--,99,94,--,--,2018-11-01
Via Sacco Pescara (PE),Accettabile,33,--,22,--,--,69,58,--,--,2018-10-31
Via Sacco Pescara (PE),Accettabile,13,--,27,--,--,89,80,--,--,2018-10-30
Via Sacco Pescara (PE),Accettabile,20,--,23,--,--,92,75,--,--,2018-10-29
Via Sacco Pescara (PE),Accettabile,25,--,36,--,--,84,73,--,--,2018-10-28
Via Sacco Pescara (PE),Accettabile,26,--,32,--,--,86,64,--,--,2018-10-27
Via Sacco Pescara (PE),Accettabile,26,--,39,--,--,60,47,--,--,2018-10-26
Via Sacco Pescara (PE),Accettabile,22,--,28,--,--,88,77,--,--,2018-10-25
Via Sacco Pescara (PE),Buona,10,--,21,--,--,72,82,--,--,2018-10-24
Via Sacco Pescara (PE),Accettabile,24,--,19,--,--,104,95,--,--,2018-10-23
Via Sacco Pescara (PE),Mediocre,38,--,32,--,--,121,111,--,--,2018-10-22
Via Sacco Pescara (PE),Mediocre,41,--,39,--,--,106,91,--,--,2018-10-21
Via Sacco Pescara (PE),Accettabile,28,--,32,--,--,92,78,--,--,2018-10-20
Via Sacco Pescara (PE),Accettabile,27,--,26,--,--,81,64,--,--,2018-10-19
Via Sacco Pescara (PE),Accettabile,30,--,27,--,--,60,45,--,--,2018-10-18
Via Sacco Pescara (PE),Accettabile,35,--,27,--,--,60,51,--,--,2018-10-17
Via Sacco Pescara (PE),Mediocre,41,--,38,--,--,119,109,--,--,2018-10-16
Via Sacco Pescara (PE),Mediocre,41,--,36,--,--,115,105,--,--,2018-10-15
Via Sacco Pescara (PE),Accettabile,25,--,34,--,--,108,98,--,--,2018-10-14
Via Sacco Pescara (PE),Accettabile,30,--,28,--,--,94,80,--,--,2018-10-13
Via Sacco Pescara (PE),Accettabile,29,--,37,--,--,112,99,--,--,2018-10-12
Via Sacco Pescara (PE),Accettabile,24,--,36,--,--,110,96,--,--,2018-10-11
Via Sacco Pescara (PE),Accettabile,14,--,30,--,--,97,87,--,--,2018-10-10
Via Sacco Pescara (PE),Accettabile,16,--,16,--,--,92,87,--,--,2018-10-09
Via Sacco Pescara (PE),Accettabile,17,--,23,--,--,89,78,--,--,2018-10-08
Via Sacco Pescara (PE),Buona,16,--,31,--,--,80,58,--,--,2018-10-07
Via Sacco Pescara (PE),Accettabile,21,--,26,--,--,92,79,--,--,2018-10-06
Via Sacco Pescara (PE),Accettabile,18,--,43,--,--,108,97,--,--,2018-10-05
Via Sacco Pescara (PE),Accettabile,14,--,25,--,--,104,94,--,--,2018-10-04
Via Sacco Pescara (PE),Accettabile,21,--,35,--,--,111,101,--,--,2018-10-03
Via Sacco Pescara (PE),Accettabile,20,--,29,--,--,104,99,--,--,2018-10-02
Via Sacco Pescara (PE),Mediocre,25,--,38,--,--,141,122,--,--,2018-10-01
Via Sacco Pescara (PE),Mediocre,27,--,51,--,--,153,132,--,--,2018-09-30
Via Sacco Pescara (PE),Mediocre,14,--,24,--,--,124,111,--,--,2018-09-29
Via Sacco Pescara (PE),Accettabile,15,--,21,--,--,97,92,--,--,2018-09-28
Via Sacco Pescara (PE),Accettabile,12,--,15,--,--,91,88,--,--,2018-09-27
Via Sacco Pescara (PE),Accettabile,17,--,27,--,--,101,82,--,--,2018-09-26
Via Sacco Pescara (PE),Accettabile,24,--,29,--,--,114,107,--,--,2018-09-25
Via Sacco Pescara (PE),Mediocre,27,--,25,--,--,124,108,--,--,2018-09-24
Via Sacco Pescara (PE),Accettabile,24,--,19,--,--,108,100,--,--,2018-09-23
Via Sacco Pescara (PE),Accettabile,17,--,27,--,--,106,100,--,--,2018-09-22
Via Sacco Pescara (PE),Accettabile,21,--,20,--,--,104,88,--,--,2018-09-21
Via Sacco Pescara (PE),Accettabile,21,--,16,--,--,104,97,--,--,2018-09-20
Via Sacco Pescara (PE),Accettabile,22,--,23,--,--,115,105,--,--,2018-09-19
Via Sacco Pescara (PE),Accettabile,24,--,34,--,--,118,112,--,--,2018-09-18
Via Sacco Pescara (PE),Mediocre,20,--,27,--,--,132,121,--,--,2018-09-17
Via Sacco Pescara (PE),Mediocre,21,--,32,--,--,133,125,--,--,2018-09-16
Via Sacco Pescara (PE),Mediocre,19,--,34,--,--,134,117,--,--,2018-09-15
Via Sacco Pescara (PE),Mediocre,17,--,36,--,--,131,124,--,--,2018-09-14
Via Sacco Pescara (PE),Mediocre,18,--,43,--,--,139,132,--,--,2018-09-13
Via Sacco Pescara (PE),Mediocre,16,--,37,--,--,131,126,--,--,2018-09-12
Via Sacco Pescara (PE),Mediocre,15,--,22,--,--,132,129,--,--,2018-09-11
Via Sacco Pescara (PE),Accettabile,15,--,18,--,--,120,115,--,--,2018-09-10
Via Sacco Pescara (PE),Mediocre,17,--,23,--,--,124,106,--,--,2018-09-09
Via Sacco Pescara (PE),Mediocre,19,--,28,--,--,132,125,--,--,2018-09-08
Via Sacco Pescara (PE),Mediocre,16,--,26,--,--,147,139,--,--,2018-09-07
Via Sacco Pescara (PE),Mediocre,13,--,26,--,--,125,121,--,--,2018-09-06
Via Sacco Pescara (PE),Accettabile,10,--,18,--,--,118,115,--,--,2018-09-05
Via Sacco Pescara (PE),Accettabile,12,--,11,--,--,120,108,--,--,2018-09-04
Via Sacco Pescara (PE),Accettabile,15,--,18,--,--,118,106,--,--,2018-09-03
Via Sacco Pescara (PE),Mediocre,24,--,27,--,--,149,122,--,--,2018-09-02
Via Sacco Pescara (PE),Mediocre,20,--,29,--,--,144,131,--,--,2018-09-01
Via Sacco Pescara (PE),Mediocre,13,--,32,--,--,131,124,--,--,2018-08-31
Via Sacco Pescara (PE),Mediocre,13,--,26,--,--,129,121,--,--,2018-08-30
Via Sacco Pescara (PE),Accettabile,11,--,n.d.,--,--,106,101,--,--,2018-08-29
Via Sacco Pescara (PE),Accettabile,13,--,0,--,--,103,113,--,--,2018-08-28
Via Sacco Pescara (PE),Mediocre,23,--,0,--,--,154,139,--,--,2018-08-27
Via Sacco Pescara (PE),Mediocre,21,--,20,--,--,140,129,--,--,2018-08-26
Via Sacco Pescara (PE),Mediocre,20,--,23,--,--,128,123,--,--,2018-08-25
Via Sacco Pescara (PE),Mediocre,25,--,33,--,--,135,129,--,--,2018-08-24
Via Sacco Pescara (PE),Mediocre,28,--,30,--,--,133,121,--,--,2018-08-23
Via Sacco Pescara (PE),Mediocre,29,--,17,--,--,130,121,--,--,2018-08-22
Via Sacco Pescara (PE),Mediocre,24,--,13,--,--,132,125,--,--,2018-08-21
Via Sacco Pescara (PE),Accettabile,15,--,18,--,--,117,114,--,--,2018-08-20
Via Sacco Pescara (PE),Accettabile,15,--,16,--,--,118,114,--,--,2018-08-19
Via Sacco Pescara (PE),Accettabile,10,--,13,--,--,107,102,--,--,2018-08-18
Via Sacco Pescara (PE),Accettabile,14,--,11,--,--,86,78,--,--,2018-08-17
Via Sacco Pescara (PE),Accettabile,18,--,25,--,--,114,87,--,--,2018-08-16
Via Sacco Pescara (PE),Accettabile,23,--,30,--,--,117,112,--,--,2018-08-15
Via Sacco Pescara (PE),Mediocre,21,--,19,--,--,130,120,--,--,2018-08-14
Via Sacco Pescara (PE),Mediocre,18,--,38,--,--,124,118,--,--,2018-08-13
Via Sacco Pescara (PE),Mediocre,22,--,20,--,--,132,119,--,--,2018-08-12
Via Sacco Pescara (PE),Mediocre,20,--,20,--,--,128,121,--,--,2018-08-11
Via Sacco Pescara (PE),Accettabile,23,--,27,--,--,117,109,--,--,2018-08-10
Via Sacco Pescara (PE),Accettabile,28,--,28,--,--,116,106,--,--,2018-08-09
Via Sacco Pescara (PE),Accettabile,23,--,27,--,--,117,114,--,--,2018-08-08
Via Sacco Pescara (PE),Mediocre,25,--,16,--,--,131,120,--,--,2018-08-07
Via Sacco Pescara (PE),Accettabile,25,--,16,--,--,115,106,--,--,2018-08-06
Via Sacco Pescara (PE),Accettabile,18,--,24,--,--,112,107,--,--,2018-08-05
Via Sacco Pescara (PE),Mediocre,22,--,23,--,--,126,121,--,--,2018-08-04
Via Sacco Pescara (PE),Mediocre,25,--,45,--,--,146,142,--,--,2018-08-03
Via Sacco Pescara (PE),Mediocre,24,--,19,--,--,150,145,--,--,2018-08-02
Via Sacco Pescara (PE),Mediocre,26,--,27,--,--,147,140,--,--,2018-08-01
Via Sacco Pescara (PE),Mediocre,27,--,26,--,--,133,124,--,--,2018-07-31
Via Sacco Pescara (PE),Mediocre,20,--,31,--,--,149,144,--,--,2018-07-30
Via Sacco Pescara (PE),Mediocre,12,--,24,--,--,135,132,--,--,2018-07-29
Via Sacco Pescara (PE),Mediocre,18,--,21,--,--,144,137,--,--,2018-07-28
Via Sacco Pescara (PE),Mediocre,23,--,29,--,--,152,146,--,--,2018-07-27
Via Sacco Pescara (PE),Mediocre,18,--,17,--,--,139,136,--,--,2018-07-26
Via Sacco Pescara (PE),Accettabile,13,--,21,--,--,117,112,--,--,2018-07-25
Via Sacco Pescara (PE),Mediocre,24,--,18,--,--,121,116,--,--,2018-07-24
Via Sacco Pescara (PE),Mediocre,23,--,22,--,--,162,148,--,--,2018-07-23
Via Sacco Pescara (PE),Mediocre,20,--,28,--,--,150,145,--,--,2018-07-22
Via Sacco Pescara (PE),Mediocre,17,--,28,--,--,150,144,--,--,2018-07-21
Via Sacco Pescara (PE),Mediocre,12,--,31,--,--,137,133,--,--,2018-07-20
Via Sacco Pescara (PE),Accettabile,12,--,18,--,--,113,108,--,--,2018-07-19
Via Sacco Pescara (PE),Accettabile,21,--,21,--,--,120,108,--,--,2018-07-18
Via Sacco Pescara (PE),Mediocre,18,--,27,--,--,124,113,--,--,2018-07-17
Via Sacco Pescara (PE),Buona,20,--,34,--,--,n.d.,n.d.,--,--,2018-07-16
Via Sacco Pescara (PE),Mediocre,20,--,23,--,--,133,125,--,--,2018-07-15
Via Sacco Pescara (PE),Accettabile,18,--,21,--,--,118,121,--,--,2018-07-14
Via Sacco Pescara (PE),Mediocre,23,--,29,--,--,146,139,--,--,2018-07-13
Via Sacco Pescara (PE),Mediocre,18,--,30,--,--,136,126,--,--,2018-07-12
Via Sacco Pescara (PE),Mediocre,13,--,28,--,--,128,122,--,--,2018-07-11
Via Sacco Pescara (PE),Mediocre,10,--,21,--,--,123,115,--,--,2018-07-10
Via Sacco Pescara (PE),Mediocre,12,--,25,--,--,129,120,--,--,2018-07-09
Via Sacco Pescara (PE),Accettabile,16,--,27,--,--,101,92,--,--,2018-07-08
Via Sacco Pescara (PE),Accettabile,12,--,26,--,--,104,98,--,--,2018-07-07
Via Sacco Pescara (PE),Accettabile,31,--,21,--,--,109,100,--,--,2018-07-06
Via Sacco Pescara (PE),Accettabile,25,--,18,--,--,109,102,--,--,2018-07-05
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2018-07-04
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2018-07-03
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,141,--,--,2018-07-02
Via Sacco Pescara (PE),Mediocre,12,--,33,--,--,141,125,--,--,2018-07-01
Via Sacco Pescara (PE),Accettabile,13,--,23,--,--,117,107,--,--,2018-06-30
Via Sacco Pescara (PE),Accettabile,13,--,7,--,--,107,105,--,--,2018-06-29
Via Sacco Pescara (PE),Accettabile,14,--,8,--,--,99,95,--,--,2018-06-28
Via Sacco Pescara (PE),Accettabile,10,--,16,--,--,90,83,--,--,2018-06-27
Via Sacco Pescara (PE),Buona,10,--,19,--,--,64,54,--,--,2018-06-26
Via Sacco Pescara (PE),Buona,9,--,11,--,--,43,40,--,--,2018-06-25
Via Sacco Pescara (PE),Buona,16,--,16,--,--,49,40,--,--,2018-06-24
Via Sacco Pescara (PE),Buona,17,--,11,--,--,59,48,--,--,2018-06-23
Via Sacco Pescara (PE),Buona,17,--,15,--,--,73,66,--,--,2018-06-22
Via Sacco Pescara (PE),Buona,16,--,17,--,--,69,64,--,--,2018-06-21
Via Sacco Pescara (PE),Buona,17,--,14,--,--,70,66,--,--,2018-06-20
Via Sacco Pescara (PE),Buona,16,--,11,--,--,74,65,--,--,2018-06-19
Via Sacco Pescara (PE),Buona,13,--,11,--,--,74,67,--,--,2018-06-18
Via Sacco Pescara (PE),Buona,11,--,11,--,--,55,52,--,--,2018-06-17
Via Sacco Pescara (PE),Buona,9,--,12,--,--,28,24,--,--,2018-06-16
Via Sacco Pescara (PE),Buona,13,--,6,--,--,39,25,--,--,2018-06-15
Via Sacco Pescara (PE),Accettabile,23,--,11,--,--,33,24,--,--,2018-06-14
Via Sacco Pescara (PE),Buona,18,--,11,--,--,35,30,--,--,2018-06-13
Via Sacco Pescara (PE),Buona,15,--,18,--,--,51,40,--,--,2018-06-12
Via Sacco Pescara (PE),Buona,17,--,19,--,--,75,56,--,--,2018-06-11
Via Sacco Pescara (PE),Buona,15,--,14,--,--,78,61,--,--,2018-06-10
Via Sacco Pescara (PE),Buona,19,--,21,--,--,72,63,--,--,2018-06-09
Via Sacco Pescara (PE),Accettabile,14,--,15,--,--,85,78,--,--,2018-06-08
Via Sacco Pescara (PE),Buona,17,--,15,--,--,75,64,--,--,2018-06-07
Via Sacco Pescara (PE),Buona,19,--,17,--,--,75,62,--,--,2018-06-06
Via Sacco Pescara (PE),Buona,16,--,18,--,--,73,71,--,--,2018-06-05
Via Sacco Pescara (PE),Buona,20,--,14,--,--,75,68,--,--,2018-06-04
Via Sacco Pescara (PE),Accettabile,22,--,14,--,--,78,63,--,--,2018-06-03
Via Sacco Pescara (PE),Buona,20,--,20,--,--,69,58,--,--,2018-06-02
Via Sacco Pescara (PE),Accettabile,22,--,14,--,--,61,46,--,--,2018-06-01
Via Sacco Pescara (PE),Accettabile,22,--,18,--,--,72,65,--,--,2018-05-31
Via Sacco Pescara (PE),Accettabile,22,--,20,--,--,73,58,--,--,2018-05-30
Via Sacco Pescara (PE),Accettabile,21,--,14,--,--,80,70,--,--,2018-05-29
Via Sacco Pescara (PE),Accettabile,22,--,21,--,--,90,80,--,--,2018-05-28
Via Sacco Pescara (PE),Accettabile,20,--,22,--,--,89,82,--,--,2018-05-27
Via Sacco Pescara (PE),Buona,13,--,21,--,--,77,74,--,--,2018-05-26
Via Sacco Pescara (PE),Buona,8,--,12,--,--,71,64,--,--,2018-05-25
Via Sacco Pescara (PE),Buona,15,--,12,--,--,76,68,--,--,2018-05-24
Via Sacco Pescara (PE),Accettabile,15,--,22,--,--,99,86,--,--,2018-05-23
Via Sacco Pescara (PE),Accettabile,13,--,26,--,--,101,95,--,--,2018-05-22
Via Sacco Pescara (PE),Accettabile,14,--,22,--,--,102,98,--,--,2018-05-21
Via Sacco Pescara (PE),Accettabile,11,--,22,--,--,89,83,--,--,2018-05-20
Via Sacco Pescara (PE),Accettabile,12,--,14,--,--,87,82,--,--,2018-05-19
Via Sacco Pescara (PE),Accettabile,11,--,21,--,--,93,87,--,--,2018-05-18
Via Sacco Pescara (PE),Buona,9,--,16,--,--,75,67,--,--,2018-05-17
Via Sacco Pescara (PE),Accettabile,14,--,13,--,--,83,76,--,--,2018-05-16
Via Sacco Pescara (PE),Accettabile,14,--,19,--,--,88,82,--,--,2018-05-15
Via Sacco Pescara (PE),Accettabile,20,--,20,--,--,93,87,--,--,2018-05-14
Via Sacco Pescara (PE),Accettabile,19,--,n.d.,--,--,100,93,--,--,2018-05-13
Via Sacco Pescara (PE),Accettabile,18,--,16,--,--,83,73,--,--,2018-05-12
Via Sacco Pescara (PE),Accettabile,19,--,17,--,--,91,76,--,--,2018-05-11
Via Sacco Pescara (PE),Accettabile,25,--,21,--,--,94,80,--,--,2018-05-10
Via Sacco Pescara (PE),Accettabile,22,--,24,--,--,92,82,--,--,2018-05-09
Via Sacco Pescara (PE),Accettabile,16,--,24,--,--,82,67,--,--,2018-05-08
Via Sacco Pescara (PE),Buona,18,--,13,--,--,78,70,--,--,2018-05-07
Via Sacco Pescara (PE),Buona,16,--,18,--,--,80,69,--,--,2018-05-06
Via Sacco Pescara (PE),Accettabile,26,--,20,--,--,79,64,--,--,2018-05-05
Via Sacco Pescara (PE),Accettabile,21,--,21,--,--,87,80,--,--,2018-05-04
Via Sacco Pescara (PE),Accettabile,18,--,17,--,--,82,76,--,--,2018-05-03
Via Sacco Pescara (PE),Accettabile,22,--,19,--,--,90,85,--,--,2018-05-02
Via Sacco Pescara (PE),Accettabile,31,--,22,--,--,80,63,--,--,2018-05-01
Via Sacco Pescara (PE),Accettabile,29,--,19,--,--,77,71,--,--,2018-04-30
Via Sacco Pescara (PE),Accettabile,31,--,21,--,--,83,72,--,--,2018-04-29
Via Sacco Pescara (PE),Accettabile,32,--,21,--,--,106,92,--,--,2018-04-28
Via Sacco Pescara (PE),Accettabile,25,--,26,--,--,95,88,--,--,2018-04-27
Via Sacco Pescara (PE),Accettabile,28,--,29,--,--,100,87,--,--,2018-04-26
Via Sacco Pescara (PE),Accettabile,30,--,23,--,--,90,80,--,--,2018-04-25
Via Sacco Pescara (PE),Accettabile,22,--,26,--,--,98,88,--,--,2018-04-24
Via Sacco Pescara (PE),Accettabile,16,--,27,--,--,97,88,--,--,2018-04-23
Via Sacco Pescara (PE),Accettabile,20,--,31,--,--,107,93,--,--,2018-04-22
Via Sacco Pescara (PE),Accettabile,24,--,28,--,--,87,78,--,--,2018-04-21
Via Sacco Pescara (PE),Buona,17,--,23,--,--,73,46,--,--,2018-04-20
Via Sacco Pescara (PE),Mediocre,50,--,23,--,--,66,61,--,--,2018-04-19
Via Sacco Pescara (PE),Mediocre,40,--,25,--,--,84,76,--,--,2018-04-18
Via Sacco Pescara (PE),Accettabile,26,--,19,--,--,95,81,--,--,2018-04-17
Via Sacco Pescara (PE),Accettabile,24,--,34,--,--,85,76,--,--,2018-04-16
Via Sacco Pescara (PE),Accettabile,32,--,28,--,--,83,71,--,--,2018-04-15
Via Sacco Pescara (PE),Mediocre,37,--,24,--,--,61,50,--,--,2018-04-14
Via Sacco Pescara (PE),Accettabile,29,--,21,--,--,71,63,--,--,2018-04-13
Via Sacco Pescara (PE),Accettabile,19,--,17,--,--,87,80,--,--,2018-04-12
Via Sacco Pescara (PE),Buona,17,--,26,--,--,78,67,--,--,2018-04-11
Via Sacco Pescara (PE),Accettabile,22,--,26,--,--,101,90,--,--,2018-04-10
Via Sacco Pescara (PE),Accettabile,14,--,29,--,--,91,86,--,--,2018-04-09
Via Sacco Pescara (PE),Accettabile,21,--,31,--,--,87,78,--,--,2018-04-08
Via Sacco Pescara (PE),Accettabile,34,--,31,--,--,79,65,--,--,2018-04-07
Via Sacco Pescara (PE),Mediocre,42,--,28,--,--,73,55,--,--,2018-04-06
Via Sacco Pescara (PE),Accettabile,25,--,31,--,--,89,79,--,--,2018-04-05
Via Sacco Pescara (PE),Accettabile,10,--,23,--,--,97,89,--,--,2018-04-04
Via Sacco Pescara (PE),Accettabile,9,--,27,--,--,88,80,--,--,2018-04-03
Via Sacco Pescara (PE),Accettabile,21,--,24,--,--,88,79,--,--,2018-04-02
Via Sacco Pescara (PE),Accettabile,29,--,30,--,--,79,72,--,--,2018-04-01
Via Sacco Pescara (PE),Mediocre,37,--,35,--,--,83,69,--,--,2018-03-31
Via Sacco Pescara (PE),Mediocre,46,--,39,--,--,102,86,--,--,2018-03-30
Via Sacco Pescara (PE),Mediocre,44,--,41,--,--,100,95,--,--,2018-03-29
Via Sacco Pescara (PE),Mediocre,40,--,35,--,--,101,90,--,--,2018-03-28
Via Sacco Pescara (PE),Mediocre,39,--,30,--,--,88,83,--,--,2018-03-27
Via Sacco Pescara (PE),Accettabile,33,--,37,--,--,87,75,--,--,2018-03-26
Via Sacco Pescara (PE),Accettabile,26,--,16,--,--,96,93,--,--,2018-03-25
Via Sacco Pescara (PE),Accettabile,n.d.,--,12,--,--,89,83,--,--,2018-03-24
Via Sacco Pescara (PE),Buona,n.d.,--,14,--,--,80,77,--,--,2018-03-23
Via Sacco Pescara (PE),Buona,n.d.,--,19,--,--,62,59,--,--,2018-03-22
Via Sacco Pescara (PE),Accettabile,n.d.,--,21,--,--,88,79,--,--,2018-03-21
Via Sacco Pescara (PE),Buona,18,--,24,--,--,77,69,--,--,2018-03-20
Via Sacco Pescara (PE),Accettabile,22,--,27,--,--,68,60,--,--,2018-03-19
Via Sacco Pescara (PE),Accettabile,18,--,18,--,--,85,77,--,--,2018-03-18
Via Sacco Pescara (PE),Mediocre,45,--,38,--,--,71,54,--,--,2018-03-17
Via Sacco Pescara (PE),Mediocre,43,--,44,--,--,78,65,--,--,2018-03-16
Via Sacco Pescara (PE),Accettabile,22,--,31,--,--,75,68,--,--,2018-03-15
Via Sacco Pescara (PE),Buona,12,--,18,--,--,68,59,--,--,2018-03-14
Via Sacco Pescara (PE),Mediocre,45,--,32,--,--,68,55,--,--,2018-03-13
Via Sacco Pescara (PE),Mediocre,42,--,43,--,--,94,72,--,--,2018-03-12
Via Sacco Pescara (PE),Mediocre,39,--,38,--,--,78,72,--,--,2018-03-11
Via Sacco Pescara (PE),Accettabile,24,--,35,--,--,76,69,--,--,2018-03-10
Via Sacco Pescara (PE),Buona,10,--,19,--,--,74,67,--,--,2018-03-09
Via Sacco Pescara (PE),Accettabile,29,--,29,--,--,27,15,--,--,2018-03-08
Via Sacco Pescara (PE),Accettabile,26,--,31,--,--,32,35,--,--,2018-03-07
Via Sacco Pescara (PE),Accettabile,22,--,32,--,--,68,61,--,--,2018-03-06
Via Sacco Pescara (PE),Scadente,68,--,29,--,--,61,52,--,--,2018-03-05
Via Sacco Pescara (PE),Scadente,71,--,31,--,--,58,43,--,--,2018-03-04
Via Sacco Pescara (PE),Scadente,63,--,25,--,--,64,50,--,--,2018-03-03
Via Sacco Pescara (PE),Mediocre,43,--,32,--,--,77,71,--,--,2018-03-02
Via Sacco Pescara (PE),Buona,n.d.,--,12,--,--,80,73,--,--,2018-03-01
Via Sacco Pescara (PE),Buona,n.d.,--,11,--,--,77,73,--,--,2018-02-28
Via Sacco Pescara (PE),Buona,13,--,12,--,--,65,63,--,--,2018-02-27
Via Sacco Pescara (PE),Mediocre,38,--,31,--,--,44,37,--,--,2018-02-26
Via Sacco Pescara (PE),Accettabile,31,--,33,--,--,15,13,--,--,2018-02-25
Via Sacco Pescara (PE),Buona,12,--,27,--,--,47,43,--,--,2018-02-24
Via Sacco Pescara (PE),Buona,n.d.,--,11,--,--,56,51,--,--,2018-02-23
Via Sacco Pescara (PE),Accettabile,21,--,24,--,--,46,37,--,--,2018-02-22
Via Sacco Pescara (PE),Accettabile,25,--,20,--,--,56,52,--,--,2018-02-21
Via Sacco Pescara (PE),Scadente,60,--,32,--,--,44,38,--,--,2018-02-20
Via Sacco Pescara (PE),Scadente,72,--,41,--,--,68,50,--,--,2018-02-19
Via Sacco Pescara (PE),Accettabile,34,--,46,--,--,77,62,--,--,2018-02-18
Via Sacco Pescara (PE),Accettabile,29,--,42,--,--,68,n.d.,--,--,2018-02-17
Via Sacco Pescara (PE),Accettabile,22,--,25,--,--,57,52,--,--,2018-02-16
Via Sacco Pescara (PE),Buona,14,--,29,--,--,55,52,--,--,2018-02-15
Via Sacco Pescara (PE),Mediocre,41,--,42,--,--,67,50,--,--,2018-02-14
Via Sacco Pescara (PE),Mediocre,41,--,42,--,--,67,50,--,--,2018-02-13
Via Sacco Pescara (PE),Accettabile,27,--,24,--,--,65,59,--,--,2018-02-12
Via Sacco Pescara (PE),Accettabile,24,--,40,--,--,64,51,--,--,2018-02-11
Via Sacco Pescara (PE),Mediocre,36,--,35,--,--,58,38,--,--,2018-02-10
Via Sacco Pescara (PE),Mediocre,38,--,29,--,--,28,20,--,--,2018-02-09
Via Sacco Pescara (PE),Accettabile,32,--,29,--,--,32,33,--,--,2018-02-08
Via Sacco Pescara (PE),Buona,n.d.,--,27,--,--,63,47,--,--,2018-02-07
Via Sacco Pescara (PE),Buona,17,--,34,--,--,61,55,--,--,2018-02-06
Via Sacco Pescara (PE),Buona,10,--,11,--,--,65,61,--,--,2018-02-05
Via Sacco Pescara (PE),Buona,18,--,36,--,--,65,61,--,--,2018-02-04
Via Sacco Pescara (PE),Accettabile,31,--,26,--,--,59,57,--,--,2018-02-03
Via Sacco Pescara (PE),Mediocre,40,--,40,--,--,48,30,--,--,2018-02-02
Via Sacco Pescara (PE),Mediocre,50,--,39,--,--,48,35,--,--,2018-02-01
Via Sacco Pescara (PE),Scadente,63,--,36,--,--,51,35,--,--,2018-01-31
Via Sacco Pescara (PE),Scadente,54,--,38,--,--,55,44,--,--,2018-01-30
Via Sacco Pescara (PE),Scadente,65,--,43,--,--,49,33,--,--,2018-01-29
Via Sacco Pescara (PE),Scadente,51,--,48,--,--,67,46,--,--,2018-01-28
Via Sacco Pescara (PE),Mediocre,41,--,50,--,--,62,39,--,--,2018-01-27
Via Sacco Pescara (PE),Accettabile,32,--,54,--,--,77,54,--,--,2018-01-26
Via Sacco Pescara (PE),Buona,n.d.,--,40,--,--,51,35,--,--,2018-01-25
Via Sacco Pescara (PE),Mediocre,44,--,41,--,--,72,62,--,--,2018-01-24
Via Sacco Pescara (PE),Mediocre,44,--,33,--,--,76,64,--,--,2018-01-23
Via Sacco Pescara (PE),Mediocre,37,--,39,--,--,70,58,--,--,2018-01-22
Via Sacco Pescara (PE),Accettabile,34,--,51,--,--,78,76,--,--,2018-01-21
Via Sacco Pescara (PE),Buona,19,--,38,--,--,79,78,--,--,2018-01-20
Via Sacco Pescara (PE),Accettabile,18,--,26,--,--,85,80,--,--,2018-01-19
Via Sacco Pescara (PE),Accettabile,31,--,28,--,--,70,63,--,--,2018-01-18
Via Sacco Pescara (PE),Scadente,64,--,40,--,--,49,31,--,--,2018-01-17
Via Sacco Pescara (PE),Mediocre,47,--,30,--,--,39,26,--,--,2018-01-16
Via Sacco Pescara (PE),Accettabile,24,--,24,--,--,43,36,--,--,2018-01-15
Via Sacco Pescara (PE),Accettabile,29,--,30,--,--,36,29,--,--,2018-01-14
Via Sacco Pescara (PE),Mediocre,50,--,43,--,--,40,22,--,--,2018-01-13
Via Sacco Pescara (PE),Accettabile,30,--,48,--,--,63,46,--,--,2018-01-12
Via Sacco Pescara (PE),Buona,n.d.,--,38,--,--,11,10,--,--,2018-01-11
Via Sacco Pescara (PE),Scadente,70,--,40,--,--,30,15,--,--,2018-01-10
Via Sacco Pescara (PE),Scadente,90,--,34,--,--,11,15,--,--,2018-01-09
Via Sacco Pescara (PE),Mediocre,48,--,24,--,--,41,31,--,--,2018-01-08
Via Sacco Pescara (PE),Scadente,69,--,45,--,--,39,24,--,--,2018-01-07
Via Sacco Pescara (PE),Scadente,63,--,52,--,--,66,44,--,--,2018-01-06
Via Sacco Pescara (PE),Accettabile,22,--,46,--,--,75,66,--,--,2018-01-05
Via Sacco Pescara (PE),Accettabile,30,--,47,--,--,55,45,--,--,2018-01-04
Via Sacco Pescara (PE),Scadente,64,--,29,--,--,53,35,--,--,2018-01-03
Via Sacco Pescara (PE),Mediocre,50,--,46,--,--,28,18,--,--,2018-01-02
Via Sacco Pescara (PE),Accettabile,34,--,43,--,--,29,19,--,--,2018-01-01
Via Sacco Pescara (PE),Accettabile,29,--,40,--,--,25,22,--,--,2017-12-31
Via Sacco Pescara (PE),Accettabile,24,--,46,--,--,40,39,--,--,2017-12-30
Via Sacco Pescara (PE),Scadente,58,--,48,--,--,37,23,--,--,2017-12-29
Via Sacco Pescara (PE),Scadente,76,--,42,--,--,20,15,--,--,2017-12-28
